surface,code,modifier,wrvu,location
index_specs,43251,,3.38,General Surgery[362]
index_specs,43255,,3.47,General Surgery[363]
index_specs,43257,,4.05,General Surgery[364]
index_specs,43259,,3.94,General Surgery[365]
index_specs,43274,,8.27,General Surgery[366]
index_specs,43275,,6.69,General Surgery[367]
index_specs,43276,,8.62,General Surgery[368]
index_specs,43277,,6.73,General Surgery[369]
index_specs,43278,,7.72,General Surgery[370]
index_specs,43645,,30.74,General Surgery[371]
index_specs,43770,,17.55,General Surgery[372]
index_specs,43775,,19.87,General Surgery[373]
index_specs,44360,,2.43,General Surgery[374]
index_specs,44361,,2.7,General Surgery[375]
index_specs,45330,,0.82,General Surgery[376]
index_specs,45331,,1.11,General Surgery[377]
index_specs,45381,,3.47,General Surgery[378]
index_specs,45384,,3.97,General Surgery[379]
index_specs,45388,,4.76,General Surgery[380]
index_specs,45390,,5.89,General Surgery[381]
index_specs,45391,,4.52,General Surgery[382]
index_specs,45398,,4.1,General Surgery[383]
index_specs,47000,,1.61,General Surgery[384]
index_specs,47001,,1.85,General Surgery[385]
index_specs,47010,,18.92,General Surgery[386]
index_specs,47015,,18.04,General Surgery[387]
index_specs,47100,,12.59,General Surgery[388]
index_specs,47120,,38.03,General Surgery[389]
index_specs,47125,,51.71,General Surgery[390]
index_specs,47130,,55.76,General Surgery[391]
index_specs,47142,,77.45,General Surgery[392]
index_specs,47300,,17.69,General Surgery[393]
index_specs,47350,,21.93,General Surgery[394]
index_specs,47360,,30.53,General Surgery[395]
index_specs,47361,,51.29,General Surgery[396]
index_specs,47362,,22.95,General Surgery[397]
index_specs,47370,,20.28,General Surgery[398]
index_specs,47371,,20.28,General Surgery[399]
index_specs,47379,,0.0,General Surgery[400]
index_specs,47380,,23.95,General Surgery[401]
index_specs,47381,,24.26,General Surgery[402]
index_specs,47382,,14.6,General Surgery[403]
index_specs,47383,,8.66,General Surgery[404]
index_specs,47399,,0.0,General Surgery[405]
index_specs,47400,,35.45,General Surgery[406]
index_specs,47420,,21.48,General Surgery[407]
index_specs,47425,,21.75,General Surgery[408]
index_specs,47460,,20.01,General Surgery[409]
index_specs,47480,,12.92,General Surgery[410]
index_specs,47552,,5.88,General Surgery[411]
index_specs,47553,,6.18,General Surgery[412]
index_specs,47554,,8.82,General Surgery[413]
index_specs,47555,,7.36,General Surgery[414]
index_specs,47556,,8.34,General Surgery[415]
index_specs,47579,,0.0,General Surgery[416]
index_specs,47612,,20.68,General Surgery[417]
index_specs,47620,,22.49,General Surgery[418]
index_specs,47700,,16.09,General Surgery[419]
index_specs,47701,,28.01,General Surgery[420]
index_specs,47711,,25.25,General Surgery[421]
index_specs,47712,,32.88,General Surgery[422]
index_specs,47715,,21.01,General Surgery[423]
index_specs,47720,,17.88,General Surgery[424]
index_specs,47721,,21.44,General Surgery[425]
index_specs,47740,,20.7,General Surgery[426]
index_specs,47741,,23.6,General Surgery[427]
index_specs,47765,,50.89,General Surgery[428]
index_specs,47780,,41.26,General Surgery[429]
index_specs,47785,,54.79,General Surgery[430]
index_specs,47800,,25.52,General Surgery[431]
index_specs,47801,,17.16,General Surgery[432]
index_specs,47900,,21.88,General Surgery[433]
index_specs,47999,,0.0,General Surgery[434]
index_specs,48000,,31.15,General Surgery[435]
index_specs,48001,,38.7,General Surgery[436]
index_specs,48020,,18.61,General Surgery[437]
index_specs,48140,,25.66,General Surgery[438]
index_specs,48150,,51.52,General Surgery[439]
index_specs,48153,,51.47,General Surgery[440]
index_specs,48400,,1.9,General Surgery[441]
index_specs,48500,,17.71,General Surgery[442]
index_specs,48520,,17.7,General Surgery[443]
index_specs,48540,,21.39,General Surgery[444]
index_specs,48545,,21.67,General Surgery[445]
index_specs,48547,,29.62,General Surgery[446]
index_specs,48548,,27.39,General Surgery[447]
index_specs,48556,,18.98,General Surgery[448]
index_specs,48999,,0.0,General Surgery[449]
index_specs,49407,,4.14,General Surgery[450]
index_specs,49446,,2.98,General Surgery[451]
index_specs,49450,,1.33,General Surgery[452]
index_specs,49550,,8.77,General Surgery[453]
index_specs,49553,,9.67,General Surgery[454]
