surface,code,modifier,wrvu,location
index_specs,49060,,18.07,Trauma & Acute Care Surgery[41]
index_specs,49084,,1.95,Trauma & Acute Care Surgery[42]
index_specs,49320,,5.01,Trauma & Acute Care Surgery[43]
index_specs,49321,,5.3,Trauma & Acute Care Surgery[44]
index_specs,49402,,13.74,Trauma & Acute Care Surgery[45]
index_specs,49421,,4.1,Trauma & Acute Care Surgery[46]
index_specs,49900,,12.1,Trauma & Acute Care Surgery[47]
index_specs,49904,,21.79,Trauma & Acute Care Surgery[48]
index_specs,97605,,0.54,Trauma & Acute Care Surgery[49]
index_specs,97606,,0.59,Trauma & Acute Care Surgery[50]
index_specs,32100,,13.41,Trauma & Acute Care Surgery[51]
index_specs,32120,,14.03,Trauma & Acute Care Surgery[52]
index_specs,32124,,15.06,Trauma & Acute Care Surgery[53]
index_specs,32140,,16.24,Trauma & Acute Care Surgery[54]
index_specs,32150,,16.4,Trauma & Acute Care Surgery[55]
index_specs,32160,,12.77,Trauma & Acute Care Surgery[56]
index_specs,32400,,1.72,Trauma & Acute Care Surgery[57]
index_specs,32905,,22.71,Trauma & Acute Care Surgery[58]
index_specs,32906,,28.57,Trauma & Acute Care Surgery[59]
index_specs,33020,,13.95,Trauma & Acute Care Surgery[60]
index_specs,33025,,12.87,Trauma & Acute Care Surgery[61]
index_specs,35002,,21.67,Trauma & Acute Care Surgery[62]
index_specs,35011,,18.12,Trauma & Acute Care Surgery[63]
index_specs,35013,,22.65,Trauma & Acute Care Surgery[64]
index_specs,35021,,21.62,Trauma & Acute Care Surgery[65]
index_specs,35022,,25.06,Trauma & Acute Care Surgery[66]
index_specs,35045,,17.56,Trauma & Acute Care Surgery[67]
index_specs,35081,,32.69,Trauma & Acute Care Surgery[68]
index_specs,35102,,35.62,Trauma & Acute Care Surgery[69]
index_specs,35103,,42.53,Trauma & Acute Care Surgery[70]
index_specs,35201,,16.51,Trauma & Acute Care Surgery[71]
index_specs,35206,,13.49,Trauma & Acute Care Surgery[72]
index_specs,35207,,10.67,Trauma & Acute Care Surgery[73]
index_specs,35211,,23.97,Trauma & Acute Care Surgery[74]
index_specs,35216,,35.69,Trauma & Acute Care Surgery[75]
index_specs,35221,,25.95,Trauma & Acute Care Surgery[76]
index_specs,35226,,14.92,Trauma & Acute Care Surgery[77]
index_specs,35236,,17.57,Trauma & Acute Care Surgery[78]
index_specs,35256,,18.58,Trauma & Acute Care Surgery[79]
index_specs,35276,,25.18,Trauma & Acute Care Surgery[80]
index_specs,35860,,14.87,Trauma & Acute Care Surgery[81]
index_specs,35875,,10.45,Trauma & Acute Care Surgery[82]
index_specs,35876,,17.37,Trauma & Acute Care Surgery[83]
index_specs,36620,,0.98,Trauma & Acute Care Surgery[84]
index_specs,36625,,2.06,Trauma & Acute Care Surgery[85]
index_specs,37191,,4.35,Trauma & Acute Care Surgery[86]
index_specs,37193,,6.92,Trauma & Acute Care Surgery[87]
index_specs,37211,,7.56,Trauma & Acute Care Surgery[88]
index_specs,37212,,6.64,Trauma & Acute Care Surgery[89]
index_specs,37213,,4.63,Trauma & Acute Care Surgery[90]
index_specs,37214,,2.43,Trauma & Acute Care Surgery[91]
index_specs,37244,,13.41,Trauma & Acute Care Surgery[92]
index_specs,39540,,14.21,Trauma & Acute Care Surgery[93]
index_specs,99152,,0.25,Emergency Department Procedures[0]
index_specs,23650,,3.44,Emergency Department Procedures[1]
index_specs,30905,,1.92,Emergency Department Procedures[2]
index_specs,65222,,0.82,Emergency Department Procedures[3]
index_specs,99153,,0.0,Emergency Department Procedures[4]
index_specs,23655,,4.64,Emergency Department Procedures[5]
index_specs,30906,,2.39,Emergency Department Procedures[6]
index_specs,65220,,0.69,Emergency Department Procedures[7]
index_specs,99291,,4.5,Emergency Department Procedures[8]
index_specs,99292,,2.25,Emergency Department Procedures[9]
index_specs,92950,,3.9,Emergency Department Procedures[10]
index_specs,31500,,2.93,Emergency Department Procedures[11]
index_specs,36556,,1.71,Emergency Department Procedures[12]
index_specs,93308,,0.52,Emergency Department Procedures[13]
index_specs,76604,,0.58,Emergency Department Procedures[14]
index_specs,10060,,1.19,Emergency Department Procedures[15]
index_specs,10061,,2.39,Emergency Department Procedures[16]
index_specs,12001,,0.82,Emergency Department Procedures[17]
index_specs,12002,,1.11,Emergency Department Procedures[18]
index_specs,12011,,1.04,Emergency Department Procedures[19]
