code,modifier,canonical_key,work_rvu,status_indicator,global_indicator,description,source_file,source_year
D7991,,D7991|,0.00,R,YYY,Dental coronoidectomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7993,,D7993|,0.00,R,YYY,Surg place craniofacial impl,PPRRVU2026_Apr_nonQPP.csv,2026
D7994,,D7994|,0.00,R,YYY,Surg place zygomatic impl,PPRRVU2026_Apr_nonQPP.csv,2026
D7995,,D7995|,0.00,R,YYY,Synthetic graft facial bones,PPRRVU2026_Apr_nonQPP.csv,2026
D7996,,D7996|,0.00,R,YYY,Implant mandible for augment,PPRRVU2026_Apr_nonQPP.csv,2026
D7997,,D7997|,0.00,R,YYY,Appliance removal,PPRRVU2026_Apr_nonQPP.csv,2026
D7998,,D7998|,0.00,R,YYY,Intraoral place of fix dev,PPRRVU2026_Apr_nonQPP.csv,2026
D7999,,D7999|,0.00,R,YYY,Oral surgery procedure,PPRRVU2026_Apr_nonQPP.csv,2026
D8010,,D8010|,0.00,R,YYY,Limited dental tx primary,PPRRVU2026_Apr_nonQPP.csv,2026
D8020,,D8020|,0.00,R,YYY,Limited dental tx transition,PPRRVU2026_Apr_nonQPP.csv,2026
D8030,,D8030|,0.00,R,YYY,Limited dental tx adolescent,PPRRVU2026_Apr_nonQPP.csv,2026
D8040,,D8040|,0.00,R,YYY,Limited dental tx adult,PPRRVU2026_Apr_nonQPP.csv,2026
D8070,,D8070|,0.00,R,YYY,Compre dental tx transition,PPRRVU2026_Apr_nonQPP.csv,2026
D8080,,D8080|,0.00,R,YYY,Compre dental tx adolescent,PPRRVU2026_Apr_nonQPP.csv,2026
D8090,,D8090|,0.00,R,YYY,Compre dental tx adult,PPRRVU2026_Apr_nonQPP.csv,2026
D8091,,D8091|,0.00,R,YYY,Compre ortho treat w surg,PPRRVU2026_Apr_nonQPP.csv,2026
D8210,,D8210|,0.00,R,YYY,Orthodontic rem appliance tx,PPRRVU2026_Apr_nonQPP.csv,2026
D8220,,D8220|,0.00,R,YYY,Fixed appliance therapy habt,PPRRVU2026_Apr_nonQPP.csv,2026
D8660,,D8660|,0.00,R,YYY,Preorthodontic tx visit,PPRRVU2026_Apr_nonQPP.csv,2026
D8670,,D8670|,0.00,R,YYY,Periodic orthodontc tx visit,PPRRVU2026_Apr_nonQPP.csv,2026
D8671,,D8671|,0.00,R,YYY,Periodic orth treat w surg,PPRRVU2026_Apr_nonQPP.csv,2026
D8680,,D8680|,0.00,R,YYY,Orthodontic retention,PPRRVU2026_Apr_nonQPP.csv,2026
D8681,,D8681|,0.00,R,YYY,Removable retainer adjust,PPRRVU2026_Apr_nonQPP.csv,2026
D8695,,D8695|,0.00,R,YYY,Remove fixed ortho appliance,PPRRVU2026_Apr_nonQPP.csv,2026
D8696,,D8696|,0.00,R,YYY,Rep of ortho appliance max,PPRRVU2026_Apr_nonQPP.csv,2026
D8697,,D8697|,0.00,R,YYY,Rep of ortho appliance man,PPRRVU2026_Apr_nonQPP.csv,2026
D8698,,D8698|,0.00,R,YYY,Recement fixed retainer max,PPRRVU2026_Apr_nonQPP.csv,2026
D8699,,D8699|,0.00,R,YYY,Recement fixed retainer man,PPRRVU2026_Apr_nonQPP.csv,2026
D8701,,D8701|,0.00,R,YYY,Repair fixed retainer max,PPRRVU2026_Apr_nonQPP.csv,2026
D8702,,D8702|,0.00,R,YYY,Repair of fixed retainer man,PPRRVU2026_Apr_nonQPP.csv,2026
D8703,,D8703|,0.00,R,YYY,Replace broken retainer max,PPRRVU2026_Apr_nonQPP.csv,2026
D8704,,D8704|,0.00,R,YYY,Replace broken retainer man,PPRRVU2026_Apr_nonQPP.csv,2026
D8999,,D8999|,0.00,R,YYY,Orthodontic procedure,PPRRVU2026_Apr_nonQPP.csv,2026
D9110,,D9110|,0.00,R,YYY,Palliative tx dental pain,PPRRVU2026_Apr_nonQPP.csv,2026
D9120,,D9120|,0.00,R,YYY,Fix partial denture section,PPRRVU2026_Apr_nonQPP.csv,2026
D9128,,D9128|,0.00,I,XXX,Photobio therpy-first 15 min,PPRRVU2026_Apr_nonQPP.csv,2026
D9129,,D9129|,0.00,I,XXX,Photobio therpy-sub 15 mins,PPRRVU2026_Apr_nonQPP.csv,2026
D9130,,D9130|,0.00,R,XXX,Temporomandibular joint dysf,PPRRVU2026_Apr_nonQPP.csv,2026
D9210,,D9210|,0.00,R,XXX,Dent anesthesia w/o surgery,PPRRVU2026_Apr_nonQPP.csv,2026
D9211,,D9211|,0.00,R,XXX,Regional block anesthesia,PPRRVU2026_Apr_nonQPP.csv,2026
D9212,,D9212|,0.00,R,XXX,Trigeminal block anesthesia,PPRRVU2026_Apr_nonQPP.csv,2026
D9215,,D9215|,0.00,R,XXX,Local anesthesia,PPRRVU2026_Apr_nonQPP.csv,2026
D9219,,D9219|,0.00,R,XXX,Eval mod/deep sed/gen anest,PPRRVU2026_Apr_nonQPP.csv,2026
D9222,,D9222|,0.00,R,XXX,"Deep anest, 1st 15 min",PPRRVU2026_Apr_nonQPP.csv,2026
D9223,,D9223|,0.00,R,XXX,General anesth ea addl 15 mi,PPRRVU2026_Apr_nonQPP.csv,2026
D9224,,D9224|,0.00,R,YYY,Gen anes adv air-15 min,PPRRVU2026_Apr_nonQPP.csv,2026
D9225,,D9225|,0.00,R,YYY,Gen anes adv air-sub 15 min,PPRRVU2026_Apr_nonQPP.csv,2026
D9230,,D9230|,0.00,R,XXX,Analgesia,PPRRVU2026_Apr_nonQPP.csv,2026
D9239,,D9239|,0.00,R,XXX,"Iv mod sedation, 1st 15 min",PPRRVU2026_Apr_nonQPP.csv,2026
D9243,,D9243|,0.00,R,XXX,Iv sedation ea addl 15m,PPRRVU2026_Apr_nonQPP.csv,2026
D9244,,D9244|,0.00,R,YYY,Office min sed drug enteral,PPRRVU2026_Apr_nonQPP.csv,2026
D9245,,D9245|,0.00,R,YYY,Admin mod sedation-enteral,PPRRVU2026_Apr_nonQPP.csv,2026
D9246,,D9246|,0.00,R,YYY,Mod sedation noniv-15 min,PPRRVU2026_Apr_nonQPP.csv,2026
D9247,,D9247|,0.00,R,YYY,Mod sedation noniv-sub15min,PPRRVU2026_Apr_nonQPP.csv,2026
D9310,,D9310|,0.00,R,XXX,Dental consultation,PPRRVU2026_Apr_nonQPP.csv,2026
D9311,,D9311|,0.00,R,XXX,Consult w/med hlth care prof,PPRRVU2026_Apr_nonQPP.csv,2026
D9410,,D9410|,0.00,R,XXX,Dental house call,PPRRVU2026_Apr_nonQPP.csv,2026
D9420,,D9420|,0.00,R,XXX,Hospital/asc call,PPRRVU2026_Apr_nonQPP.csv,2026
D9430,,D9430|,0.00,R,XXX,Office visit during hours,PPRRVU2026_Apr_nonQPP.csv,2026
D9440,,D9440|,0.00,R,XXX,Office visit after hours,PPRRVU2026_Apr_nonQPP.csv,2026
D9450,,D9450|,0.00,R,XXX,Case presentation tx plan,PPRRVU2026_Apr_nonQPP.csv,2026
D9610,,D9610|,0.00,R,YYY,Dent therapeutic drug inject,PPRRVU2026_Apr_nonQPP.csv,2026
D9612,,D9612|,0.00,R,YYY,Thera par drugs 2 or > admin,PPRRVU2026_Apr_nonQPP.csv,2026
D9613,,D9613|,0.00,R,YYY,Infiltration thera drug,PPRRVU2026_Apr_nonQPP.csv,2026
D9630,,D9630|,0.00,R,YYY,Drugs/meds disp for home use,PPRRVU2026_Apr_nonQPP.csv,2026
D9910,,D9910|,0.00,R,YYY,Dent appl desensitizing med,PPRRVU2026_Apr_nonQPP.csv,2026
D9911,,D9911|,0.00,R,YYY,Appl desensitizing resin,PPRRVU2026_Apr_nonQPP.csv,2026
D9912,,D9912|,0.00,R,XXX,Pre-visit patient screening,PPRRVU2026_Apr_nonQPP.csv,2026
D9913,,D9913|,0.00,R,YYY,Admin of neuromod,PPRRVU2026_Apr_nonQPP.csv,2026
D9914,,D9914|,0.00,R,YYY,Admin of dermal fill,PPRRVU2026_Apr_nonQPP.csv,2026
D9920,,D9920|,0.00,R,XXX,Behavior management,PPRRVU2026_Apr_nonQPP.csv,2026
D9930,,D9930|,0.00,R,XXX,Treatment of complications,PPRRVU2026_Apr_nonQPP.csv,2026
D9932,,D9932|,0.00,R,YYY,Clean & inspect rem dent max,PPRRVU2026_Apr_nonQPP.csv,2026
D9933,,D9933|,0.00,R,YYY,Clean & inspect rem dent man,PPRRVU2026_Apr_nonQPP.csv,2026
D9934,,D9934|,0.00,R,YYY,Clean rem part denture max,PPRRVU2026_Apr_nonQPP.csv,2026
D9935,,D9935|,0.00,R,YYY,Clean rem part denture mand,PPRRVU2026_Apr_nonQPP.csv,2026
D9936,,D9936|,0.00,I,XXX,Clean occ guard,PPRRVU2026_Apr_nonQPP.csv,2026
D9938,,D9938|,0.00,R,YYY,Fab removable appliance,PPRRVU2026_Apr_nonQPP.csv,2026
D9939,,D9939|,0.00,R,YYY,Placemnt removable appliance,PPRRVU2026_Apr_nonQPP.csv,2026
D9941,,D9941|,0.00,R,YYY,Fabrication athletic guard,PPRRVU2026_Apr_nonQPP.csv,2026
D9942,,D9942|,0.00,R,YYY,Repair/reline occlusal guard,PPRRVU2026_Apr_nonQPP.csv,2026
D9943,,D9943|,0.00,R,YYY,Occlusal guard adjustment,PPRRVU2026_Apr_nonQPP.csv,2026
