code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
A4457,Enema tube any type repl,N,0.00,0.00,0.00,XXX,33.4009
A4458,Reusable enema bag,X,0.00,0.00,0.00,XXX,33.4009
A4459,"Transanal irrigation, manual",X,0.00,0.00,0.00,XXX,33.4009
A4461,Surgicl dress hold non-reuse,X,0.00,0.00,0.00,XXX,33.4009
A4463,Surgical dress holder reuse,X,0.00,0.00,0.00,XXX,33.4009
A4465,Non-elastic extremity binder,P,0.00,0.00,0.00,XXX,33.4009
A4467,Belt strap sleev grmnt cover,N,0.00,0.00,0.00,XXX,33.4009
A4468,Exsuff belt incl all sup acc,N,0.00,0.00,0.00,XXX,33.4009
A4470,Gravlee jet washer,P,0.00,0.00,0.00,XXX,33.4009
A4479,"Transanal irrigation, electr",P,0.00,0.00,0.00,XXX,33.4009
A4480,Vabra aspirator,P,0.00,0.00,0.00,XXX,33.4009
A4481,Tracheostoma filter,X,0.00,0.00,0.00,XXX,33.4009
A4483,Moisture exchanger,X,0.00,0.00,0.00,XXX,33.4009
A4490,Above knee surgical stocking,N,0.00,0.00,0.00,XXX,33.4009
A4495,Thigh length surg stocking,N,0.00,0.00,0.00,XXX,33.4009
A4500,Below knee surgical stocking,N,0.00,0.00,0.00,XXX,33.4009
A4510,Full length surg stocking,N,0.00,0.00,0.00,XXX,33.4009
A4520,Incontinence garment anytype,N,0.00,0.00,0.00,XXX,33.4009
A4540,Trans elec nerv periph nerv,N,0.00,0.00,0.00,XXX,33.4009
A4541,Monthly supp use with e0733,X,0.00,0.00,0.00,XXX,33.4009
A4542,Supp ext up limb tremor stim,X,0.00,0.00,0.00,XXX,33.4009
A4543,Supply trans elec nerve stim,X,0.00,0.00,0.00,XXX,33.4009
A4544,Electro nerve stimulator rls,X,0.00,0.00,0.00,XXX,33.4009
A4545,Suppl accessor tibial stim,X,0.00,0.00,0.00,XXX,33.4009
A4550,Surgical trays,B,0.00,0.00,0.00,XXX,33.4009
A4553,"Nondisp underpads, all sizes",N,0.00,0.00,0.00,XXX,33.4009
A4554,Disposable underpads,N,0.00,0.00,0.00,XXX,33.4009
A4555,Ca tx e-stim electr/transduc,I,0.00,0.00,0.00,XXX,33.4009
A4556,"Electrodes, pair",P,0.00,0.00,0.00,XXX,33.4009
A4557,"Lead wires, pair",P,0.00,0.00,0.00,XXX,33.4009
A4558,Conductive gel or paste,P,0.00,0.00,0.00,XXX,33.4009
A4559,Coupling gel or paste,X,0.00,0.00,0.00,XXX,33.4009
A4560,Nmes disposable,N,0.00,0.00,0.00,XXX,33.4009
A4561,Pessary reusable rub anytype,X,0.00,0.00,0.00,XXX,33.4009
A4562,Pessary reusable nonrubber,X,0.00,0.00,0.00,XXX,33.4009
A4563,Vag inser rectal control sys,X,0.00,0.00,0.00,XXX,33.4009
A4564,"Pessary, disposable any type",X,0.00,0.00,0.00,XXX,33.4009
A4565,Slings,X,0.00,0.00,0.00,XXX,33.4009
A4566,Should sling/vest/abrestrain,I,0.00,0.00,0.00,XXX,33.4009
A4570,Splint,I,0.00,0.00,0.00,XXX,33.4009
A4575,Hyperbaric o2 chamber disps,X,0.00,0.00,0.00,XXX,33.4009
A4580,Cast supplies (plaster),I,0.00,0.00,0.00,XXX,33.4009
A4590,Special casting material,I,0.00,0.00,0.00,XXX,33.4009
A4593,Neuromod sti sys adj rehab,X,0.00,0.00,0.00,XXX,33.4009
A4594,Neuromod adj rehab mouthpie,X,0.00,0.00,0.00,XXX,33.4009
A4595,Tens suppl 2 lead per month,X,0.00,0.00,0.00,XXX,33.4009
A4596,Ces system monthly supp,X,0.00,0.00,0.00,XXX,33.4009
A4600,"Sleeve, inter limb comp dev",X,0.00,0.00,0.00,XXX,33.4009
A4601,Lith ion non prosth recharge,X,0.00,0.00,0.00,XXX,33.4009
A4602,Replace lithium battery 1.5v,X,0.00,0.00,0.00,XXX,33.4009
A4604,Tubing with heating element,X,0.00,0.00,0.00,XXX,33.4009
A4605,Trach suction cath close sys,X,0.00,0.00,0.00,XXX,33.4009
A4606,Oxygen probe used w oximeter,X,0.00,0.00,0.00,XXX,33.4009
A4608,Transtracheal oxygen cath,X,0.00,0.00,0.00,XXX,33.4009
A4611,Heavy duty battery,N,0.00,0.00,0.00,XXX,33.4009
A4612,Battery cables,N,0.00,0.00,0.00,XXX,33.4009
A4613,Battery charger,N,0.00,0.00,0.00,XXX,33.4009
A4614,Hand-held pefr meter,X,0.00,0.00,0.00,XXX,33.4009
A4615,Cannula nasal,X,0.00,0.00,0.00,XXX,33.4009
A4616,Tubing (oxygen) per foot,X,0.00,0.00,0.00,XXX,33.4009
A4617,Mouth piece,X,0.00,0.00,0.00,XXX,33.4009
A4618,Breathing circuits,X,0.00,0.00,0.00,XXX,33.4009
A4619,Face tent,X,0.00,0.00,0.00,XXX,33.4009
A4620,Variable concentration mask,X,0.00,0.00,0.00,XXX,33.4009
A4623,Tracheostomy inner cannula,X,0.00,0.00,0.00,XXX,33.4009
A4624,Tracheal suction tube,X,0.00,0.00,0.00,XXX,33.4009
A4625,Trach care kit for new trach,X,0.00,0.00,0.00,XXX,33.4009
A4626,Tracheostomy cleaning brush,X,0.00,0.00,0.00,XXX,33.4009
A4627,Spacer bag/reservoir,N,0.00,0.00,0.00,XXX,33.4009
A4628,Oropharyngeal suction cath,X,0.00,0.00,0.00,XXX,33.4009
A4629,Tracheostomy care kit,X,0.00,0.00,0.00,XXX,33.4009
A4630,Repl bat t.e.n.s. own by pt,X,0.00,0.00,0.00,XXX,33.4009
A4633,Uvl replacement bulb,X,0.00,0.00,0.00,XXX,33.4009
A4634,Replacement bulb th lightbox,X,0.00,0.00,0.00,XXX,33.4009
A4635,Underarm crutch pad,X,0.00,0.00,0.00,XXX,33.4009
A4636,Handgrip for cane etc,X,0.00,0.00,0.00,XXX,33.4009
A4637,Repl tip cane/crutch/walker,X,0.00,0.00,0.00,XXX,33.4009
