code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
76019,Mr safety implt pos&/immoblj,A,0.00,3.74,0.01,XXX,33.4009
76145,Med physic dos eval rad exps,A,0.00,30.60,0.51,XXX,33.4009
76391,Mr elastography,A,0.00,4.39,0.02,XXX,33.4009
76496,Unlisted fluoroscopic px,C,0.00,0.00,0.00,XXX,33.4009
76497,Unlisted ct procedure,C,0.00,0.00,0.00,XXX,33.4009
76498,Unlisted mr procedure,C,0.00,0.00,0.00,XXX,33.4009
76499,Unlisted dx radiographic px,C,0.00,0.00,0.00,XXX,33.4009
76873,Echograp trans r pros study,A,0.00,3.05,0.02,XXX,33.4009
76883,Us nrv&acc strux 1xtr compre,A,0.00,0.48,0.01,XXX,33.4009
76932,Echo guide for heart biopsy,C,0.00,0.00,0.00,YYY,33.4009
76936,Echo guide for artery repair,A,0.00,5.12,0.03,XXX,33.4009
76937,Us guide vascular access,A,0.00,0.79,0.01,ZZZ,33.4009
76940,Us guide tissue ablation,C,0.00,0.00,0.00,YYY,33.4009
76941,Echo guide for transfusion,C,0.00,0.00,0.00,XXX,33.4009
76945,Echo guide villus sampling,C,0.00,0.00,0.00,XXX,33.4009
76946,Echo guide for amniocentesis,A,0.00,0.46,0.01,XXX,33.4009
76948,Echo guide ova aspiration,A,0.00,1.49,0.01,XXX,33.4009
76965,Echo guidance radiotherapy,A,0.00,0.85,0.01,XXX,33.4009
76975,Gi endoscopic ultrasound,C,0.00,0.00,0.00,XXX,33.4009
76977,Us bone density measure,A,0.00,0.14,0.01,XXX,33.4009
76978,Us trgt dyn mbubb 1st les,A,0.00,2.88,0.02,XXX,33.4009
76979,Us trgt dyn mbubb ea addl,A,0.00,2.01,0.01,ZZZ,33.4009
76981,Use parenchyma,A,0.00,2.49,0.01,XXX,33.4009
76982,Use 1st target lesion,A,0.00,1.92,0.01,XXX,33.4009
76983,Use ea addl target lesion,A,0.00,1.09,0.01,ZZZ,33.4009
76984,Dx intraop thoracic aorta us,C,0.00,0.00,0.00,XXX,33.4009
76987,Dx intraop epicar car us chd,C,0.00,0.00,0.00,XXX,33.4009
76988,Dx ntrop epcr us chd img acq,C,0.00,0.00,0.00,XXX,33.4009
76989,Dx intraop epcar us chd i&r,C,0.00,0.00,0.00,XXX,33.4009
76998,Us guide intraop,C,0.00,0.00,0.00,XXX,33.4009
76999,Echo examination procedure,C,0.00,0.00,0.00,XXX,33.4009
77011,Ct scan for localization,A,0.00,4.82,0.01,XXX,33.4009
77046,Mri breast c- unilateral,A,0.00,4.38,0.02,XXX,33.4009
77047,Mri breast c- bilateral,A,0.00,4.27,0.02,XXX,33.4009
77048,Mri breast c-+ w/cad uni,A,0.00,7.07,0.03,XXX,33.4009
77049,Mri breast c-+ w/cad bi,A,0.00,6.97,0.03,XXX,33.4009
77053,X-ray of mammary duct,A,0.00,1.08,0.01,XXX,33.4009
77054,X-ray of mammary ducts,A,0.00,1.41,0.01,XXX,33.4009
77061,Breast tomosynthesis uni,I,0.00,0.00,0.00,XXX,33.4009
77062,Breast tomosynthesis bi,I,0.00,0.00,0.00,XXX,33.4009
77063,Breast tomosynthesis bi,A,0.00,0.70,0.00,ZZZ,33.4009
77071,Mnl appl strs jt radiography,A,0.40,1.28,0.07,XXX,33.4009
77072,Bone age studies,A,0.00,0.48,0.01,XXX,33.4009
77073,Bone length studies,A,0.00,0.99,0.01,XXX,33.4009
77074,Radex osseous survey lmtd,A,0.00,1.31,0.01,XXX,33.4009
77075,Radex osseous survey compl,A,0.00,2.14,0.02,XXX,33.4009
77076,Radex osseous survey infant,A,0.00,2.15,0.02,XXX,33.4009
77077,Joint survey single view,A,0.00,0.92,0.01,XXX,33.4009
77078,Ct bone density axial,A,0.00,2.61,0.01,XXX,33.4009
77084,Mri bone marrow blood supply,A,0.00,7.16,0.03,XXX,33.4009
77089,Tbs dxa cal w/i&r fx risk,A,0.20,0.96,0.03,XXX,33.4009
77090,Tbs techl prep&transmis data,A,0.00,0.08,0.01,XXX,33.4009
77091,Tbs techl calculation only,A,0.00,0.79,0.01,XXX,33.4009
77092,Tbs i&r fx rsk qhp,A,0.20,0.09,0.01,XXX,33.4009
77293,Respirator motion mgmt simul,A,0.00,8.88,0.03,ZZZ,33.4009
77399,Unlisted px med radj physics,C,0.00,0.00,0.00,XXX,33.4009
77423,Neutron beam tx complex,C,0.00,0.00,0.00,XXX,33.4009
77424,Io rad tx delivery by x-ray,X,0.00,0.00,0.00,XXX,33.4009
77425,Io rad tx deliver by elctrns,X,0.00,0.00,0.00,XXX,33.4009
77436,Surf radj ther tx planning,A,0.00,1.09,0.01,XXX,33.4009
77437,Surf radj ther supfc<=150kv,A,0.00,3.27,0.01,XXX,33.4009
77438,Surf rad thr orthvlt>150-500,A,0.00,3.30,0.01,XXX,33.4009
77439,Surf rad thr img gdn us plmt,B,0.00,0.00,0.00,ZZZ,33.4009
77469,Io radiation tx management,A,5.61,1.93,0.44,XXX,33.4009
77470,Special radiation treatment,A,0.00,1.14,0.02,XXX,33.4009
77499,Unlisted px ther rad tx mgmt,C,0.00,0.00,0.00,XXX,33.4009
